session_id,session_name,session_date,session_time,registration_id,rating,comment
SES001,Workshop: Data Visualization,04/04/2025,4:00 am,REG255,4,"Excellent session, learned a lot."
SES002,Workshop: Data Visualization,03/04/2025,3:00 pm,REG467,5,"Great experience, loved it!"
SES003,Panel: Future of Tech,02/04/2025,2:00 am,REG407,4,Loved the interactive parts of the event.
SES004,Workshop: Data Visualization,01/04/2025,1:00 pm,REG353,4,"Amazing presentation, super helpful."
SES005,Panel: Future of Tech,31/03/2025,12:00 am,REG478,4,"Very helpful content, thanks!"
SES006,Fireside Chat: Innovation,30/03/2025,11:00 am,REG247,5,"Very helpful content, thanks!"
SES007,Panel: Future of Tech,29/03/2025,10:00 pm,REG470,5,Loved the interactive parts of the event.
SES008,Keynote: AI Trends,28/03/2025,9:00 am,REG424,5,Extremely informative workshop.
SES009,Panel: Future of Tech,27/03/2025,8:00 pm,REG002,4,"Very helpful content, thanks!"
SES010,Workshop: Data Visualization,26/03/2025,7:00 am,REG007,4,Everything was well organized and smooth.
SES011,Fireside Chat: Innovation,25/03/2025,6:00 pm,REG344,3,"Great insights, very useful."
SES012,Panel: Future of Tech,24/03/2025,5:00 am,REG046,4,Loved the interactive parts of the event.
SES013,Workshop: Data Visualization,23/03/2025,4:00 pm,REG465,4,"Very helpful content, thanks!"
SES014,Panel: Future of Tech,22/03/2025,3:00 am,REG057,4,The speaker was excellent and clear.
SES015,Fireside Chat: Innovation,21/03/2025,2:00 pm,REG428,2,poor 
SES016,Fireside Chat: Innovation,20/03/2025,1:00 am,REG294,2,unorganized 
SES017,Keynote: AI Trends,19/03/2025,12:00 pm,REG343,5,"Excellent session, learned a lot."
SES018,Fireside Chat: Innovation,18/03/2025,11:00 pm,REG253,4,Amazing delivery of the topic.
SES019,Workshop: Data Visualization,17/03/2025,10:00 am,REG077,4,"Excellent session, learned a lot."
SES020,Fireside Chat: Innovation,16/03/2025,9:00 pm,REG487,4,"Great experience, loved it!"
SES021,Fireside Chat: Innovation,15/03/2025,8:00 am,REG047,4,Loved the interactive parts of the event.
